id_geografico,nombre,poblacion_total,poblacion_mayor_de_25,ingreso_medio,valor_medio_de_vivienda,educacion,poblacion_blanca,poblacion_afroamericana,poblacion_nativa,poblacion_asiatica,nativo_hawaiano,alguna_otra_etnia,dos_o_mas_etnias,poblacion_hispana_o_latina,ciudad,area_metropolitana
11001004002,"nombre 40.02, Distrito de Columbia, Distrito de Columbia",3190,2826,10245500,62620000,262400,267000,94,0,135,0,12,4800,231,Washington,Washington-Arlington-Alexandria
11001001901,"nombre 19.01, Distrito de Columbia, Distrito de Columbia",4065,2900,8296300,44570000,140300,68000,2584,0,208,0,20,10300,470,Washington,Washington-Arlington-Alexandria
11001001600,"nombre 16, Distrito de Columbia, Distrito de Columbia",4699,3399,16925000,81200000,272900,125400,2932,0,62,0,18,10700,326,Washington,Washington-Arlington-Alexandria
11001002600,"nombre 26, Distrito de Columbia, Distrito de Columbia",2521,1910,18187500,92380000,161500,120000,838,20,145,1600,17,8600,199,Washington,Washington-Arlington-Alexandria
11001005900,"nombre 59, Distrito de Columbia, Distrito de Columbia",2682,1917,10155300,45520000,149500,147400,906,0,337,0,31,8600,186,Washington,Washington-Arlington-Alexandria
11001005600,"nombre 56, Distrito de Columbia, Distrito de Columbia",6442,3853,8336500,48480000,335200,402100,369,17,733,0,101,0,954,Washington,Washington-Arlington-Alexandria
11001004600,"nombre 46, Distrito de Columbia, Distrito de Columbia",2863,2328,9869800,64110000,137100,119200,1309,0,133,0,0,9890,193,Washington,Washington-Arlington-Alexandria
11001005201,"nombre 52.01, Distrito de Columbia, Distrito de Columbia",6263,5810,11427100,56390000,478900,0,376,83,517,0,21,17100,798,Washington,Washington-Arlington-Alexandria
11001007703,"nombre 77.03, Distrito de Columbia, Distrito de Columbia",6159,3471,2602000,25750000,15400,0,5753,0,23,0,0,1600,367,Washington,Washington-Arlington-Alexandria
11001007707,"nombre 77.07, Distrito de Columbia, Distrito de Columbia",4484,2692,4099500,27280000,39800,2100,4356,0,0,0,0,3800,69,Washington,Washington-Arlington-Alexandria
11001008100,"nombre 81, Distrito de Columbia, Distrito de Columbia",3286,2602,14306800,84970000,218600,249300,315,7,92,0,18,8500,276,Washington,Washington-Arlington-Alexandria
11001008200,"nombre 82, Distrito de Columbia, Distrito de Columbia",3056,2124,11574200,98980000,194700,0,232,0,102,0,0,8700,254,Washington,Washington-Arlington-Alexandria
11001008410,"nombre 84.10, Distrito de Columbia, Distrito de Columbia",1533,1160,14156300,65190000,83700,76000,607,5,47,0,4,1000,100,Washington,Washington-Arlington-Alexandria
11001008804,"nombre 88.04, Distrito de Columbia, Distrito de Columbia",2561,1876,4392200,38770000,57100,25300,2010,0,194,0,0,3300,71,Washington,Washington-Arlington-Alexandria
11001009201,"nombre 93.02, Distrito de Columbia, Distrito de Columbia",2718,1691,8484400,66240000,117400,114200,1118,10,82,0,0,18100,195,Washington,Washington-Arlington-Alexandria
11001009302,"nombre 93.02, Distrito de Columbia, Distrito de Columbia",1279,1017,7137500,51020000,41700,208508,541,0,3,0,0,600,345,Washington,Washington-Arlington-Alexandria
11001009507,"nombre 95.07, Distrito de Columbia, Distrito de Columbia",4540,1230,7437500,2838168525,32600,1800,1603,0,0,0,0,1100,292,Washington,Washington-Arlington-Alexandria
11001009901,"nombre 99.03, Distrito de Columbia, Distrito de Columbia",2890,2175,8981300,38380000,98500,9500,2465,0,186,0,0,8800,871,Washington,Washington-Arlington-Alexandria
11001009903,"nombre 99.03, Distrito de Columbia, Distrito de Columbia",1952,1392,6427900,30480000,0,9100,1749,53,0,0,18,3300,8,Washington,Washington-Arlington-Alexandria
11001009905,"nombre 99.05, Distrito de Columbia, Distrito de Columbia",2890,1785,4065000,17480000,21800,300,2705,0,0,0,14,4200,126,Washington,Washington-Arlington-Alexandria
11001000202,"nombre 2.02, Distrito de Columbia, Distrito de Columbia",4540,2485,16298100,120100000,230200,344000,327,0,196,0,0,14700,363,Washington,Washington-Arlington-Alexandria
11001000400,"nombre 4, Distrito de Columbia, Distrito de Columbia",1489,1146,14322900,138190000,90600,97300,50,0,146,0,0,0,264,Washington,Washington-Arlington-Alexandria
11001000901,"nombre 9.01, Distrito de Columbia, Distrito de Columbia",7799,3352,24220800,147740000,282400,538500,546,7,496,0,8,20100,1138,Washington,Washington-Arlington-Alexandria
11001000902,"nombre 9.02, Distrito de Columbia, Distrito de Columbia",2584,1766,20546900,117960000,153200,205000,51,0,52,0,0,9900,332,Washington,Washington-Arlington-Alexandria
11001001002,"nombre 10.02, Distrito de Columbia, Distrito de Columbia",3512,2272,9916700,42180000,0,234900,154,0,317,0,14,16500,513,Washington,Washington-Arlington-Alexandria
11001001200,"nombre 12, Distrito de Columbia, Distrito de Columbia",5031,3894,12517900,84430000,335600,378300,290,0,292,507,0,22600,440,Washington,Washington-Arlington-Alexandria
11001002001,"nombre 20.01, Distrito de Columbia, Distrito de Columbia",3150,2266,6306000,76530000,91200,208508,1326,77,77,0,173,4800,910,Washington,Washington-Arlington-Alexandria
11001003100,"nombre 31, Distrito de Columbia, Distrito de Columbia",3282,2709,9493900,57470000,152700,94500,934,32,164,0,26,8400,1097,Washington,Washington-Arlington-Alexandria
11001002201,"nombre 22.01, Distrito de Columbia, Distrito de Columbia",2955,2355,6506900,56490000,90400,56300,1960,14,496,0,0,0,330,Washington,Washington-Arlington-Alexandria
11001002502,"nombre 25.02, Distrito de Columbia, Distrito de Columbia",6389,5193,7346400,56480000,211900,118500,2446,0,283,0,24,20600,2245,Washington,Washington-Arlington-Alexandria
11001002900,"nombre 29, Distrito de Columbia, Distrito de Columbia",4465,3476,10370000,60830000,219200,175200,1088,0,157,0,0,14500,1323,Washington,Washington-Arlington-Alexandria
11001003200,"nombre 32, Distrito de Columbia, Distrito de Columbia",4822,3715,9237500,48330000,169300,119100,2212,0,234,0,22,2900,1156,Washington,Washington-Arlington-Alexandria
11001003302,"nombre 33.02, Distrito de Columbia, Distrito de Columbia",2256,1796,11242600,68150000,134600,108500,887,4,85,0,23,6600,106,Washington,Washington-Arlington-Alexandria
11001004300,"nombre 43, Distrito de Columbia, Distrito de Columbia",4033,3421,9500000,69460000,272900,232400,950,0,156,0,0,13000,473,Washington,Washington-Arlington-Alexandria
11001004901,"nombre 49.01, Distrito de Columbia, Distrito de Columbia",2837,2291,10350000,73910000,151800,112500,1022,0,186,0,12,7000,422,Washington,Washington-Arlington-Alexandria
11001006500,"nombre 65, Distrito de Columbia, Distrito de Columbia",2604,2072,12553600,89180000,186200,199900,305,0,496,0,0,1900,275,Washington,Washington-Arlington-Alexandria
11001007708,"nombre 77.08, Distrito de Columbia, Distrito de Columbia",3039,1830,3548800,22060000,3000,0,3039,0,0,0,0,0,871,Washington,Washington-Arlington-Alexandria
11001008802,"nombre 96.03, Distrito de Columbia, Distrito de Columbia",4311,3413,6481000,51030000,130500,105300,2980,14,63,0,35,9890,141,Washington,Washington-Arlington-Alexandria
11001009603,"nombre 96.03, Distrito de Columbia, Distrito de Columbia",3635,2638,4422900,0,32000,0,3500,0,0,0,0,2100,114,Washington,Washington-Arlington-Alexandria
11001007807,"nombre 78.07, Distrito de Columbia, Distrito de Columbia",2171,1528,3843800,25030000,20400,1600,2049,906,6,0,0,1400,871,Washington,Washington-Arlington-Alexandria
11001008402,"nombre 84.02, Distrito de Columbia, Distrito de Columbia",2352,2118,9301100,67690000,160200,153200,628,906,20,0,0,9500,77,Washington,Washington-Arlington-Alexandria
11001001401,"nombre 14.01, Distrito de Columbia, Distrito de Columbia",3334,2416,12052600,105770000,220700,233900,285,19,268,0,13,10000,321,Washington,Washington-Arlington-Alexandria
11001009801,"nombre 98.01, Distrito de Columbia, Distrito de Columbia",2317,1245,2051300,23170000,17100,3300,2178,5,0,0,0,5100,50,Washington,Washington-Arlington-Alexandria
11001009802,"nombre 74.09, Distrito de Columbia, Distrito de Columbia",2051,1131,2362500,21540000,13100,700,906,0,0,0,0,0,65,Washington,Washington-Arlington-Alexandria
11001007409,"nombre 74.09, Distrito de Columbia, Distrito de Columbia",4000,3117,3810700,25570000,17300,3200,3751,0,55,0,0,2300,139,Washington,Washington-Arlington-Alexandria
11001006802,"nombre 68.02, Distrito de Columbia, Distrito de Columbia",2509,1837,15604200,65500000,142600,148600,809,0,37,0,8,8600,83,Washington,Washington-Arlington-Alexandria
11001007806,"nombre 78.06, Distrito de Columbia, Distrito de Columbia",2169,1519,3798100,29780000,25000,6200,2104,0,0,0,22,0,3,Washington,Washington-Arlington-Alexandria
11001007901,"nombre 79.01, Distrito de Columbia, Distrito de Columbia",4078,2914,5194900,51410000,110500,95000,2764,40,22,0,88,6800,156,Washington,Washington-Arlington-Alexandria
11001008002,"nombre 80.02, Distrito de Columbia, Distrito de Columbia",3470,2733,11664100,67870000,201200,204700,1004,0,79,0,0,5200,288,Washington,Washington-Arlington-Alexandria
11001008702,"nombre 87.02, Distrito de Columbia, Distrito de Columbia",2751,2170,7229200,43770000,121900,71200,1559,0,131,0,11,6300,275,Washington,Washington-Arlington-Alexandria
